ID Planinfra,Ano de entrada,Registro do ID,Data da ação,Status,AUTORIZAÇÃO,Cidade,Estado,PRIORIDADE EMAER,COMAR,ODS,OM,DESCRIÇÃO,Solicitante,Documento de Solicitação,DOCUMENTO do Caderno de Necessidades,Data do Carderno de Necessidades,VALOR ESTIMATIVA (R$),RESPONSAVEL PROJETO,INÍCIO DO PROJETO/TAP,PRAZO DE PROJETO,PROJETO,VALOR PROJETO  (R$),DOCUMENTO ENTREGA do Projeto,Data de entrega do Projeto,DOCUMENTO CANCELAMENTO,DOCUMENTO SUSPENSÃO,RESPONSÁVEL LICITAÇÃO,Origem do Crédito,DATA DA LICITAÇÃO,Valor Obra (R$),Apostilamentos/Reajustes,1o Valor Aditivo (R$),2o Valor Aditivo (R$),3o Valor Aditivo (R$),4o Valor Aditivo (R$),5o Valor Aditivo (R$),Valor Vigente (R$),RESPONSÁVEL FISCALIZAÇÃO,INÍCIO DA OBRA,PRAZO ORIGINAL DA OBRA,1o ADITIVO DE PRAZO (DIAS),2o ADITIVO DE PRAZO (DIAS),3o ADITIVO DE PRAZO (DIAS),4o ADITIVO DE PRAZO (DIAS),5o ADITIVO DE PRAZO (DIAS),Valor Total Medido,PRAZO DA OBRA,EXECUÇÃO,OBS,PUBLICAR,Data que saiu do PlanINFRA,Setor Responsável,Telefone,RESPONSÁVEL ETPE,DOCUMENTO do ETPE,Data do ETPE,GERENTE DO PROJETO,TELEFONE DO GERENTE,DOCUMENTO de envio do TAP para o cliente,DATA de envio do TAP para o cliente,DOCUMENTO de recebimento do TAP assinado pelo cliente,VALOR ESTIMATIVA TAP (R$),LINK DO GPAER,DOCUMENTO de envio do TMP para o cliente,DATA de envio do TMP para o cliente,DOCUMENTO de recebimento do TMP assinado pelo cliente,DATA de recebimento do TMP assinado pelo cliente,ACRÉSCIMO VALOR TMP,ACRÉSCIMO PRAZO TMP,ESTIMATIVA PROJETO VIGENTE,PRAZO PROJETO VIGENTE,DOCUMENTO de assinatura do TEP pelo cliente,DATA de assinatura do TEP pelo cliente,REGISTRO SISOP,USUÁRIO ÚLTIMO AÇÃO,DOCUMENTO AUTORIZAÇÃO PARA LICITAR,DATA AUTORIZAÇÃO PARA LICITAR,DATA ENVIO DA DNR À UG EXEC,DATA ENVIO À CJU,DATA RETORNO DA CJU,DATA PUBLICAÇÃO EDITAL,DATA ENTREGA PROPOSTAS,VALOR ADJUDICADO,CÓDIGO PTA,INÍCIO PTA,TÉRMINO PTA,TIPO LICITACAO,NUMERO LICITACAO
2022-1973,2022,1973,13/01/2023 09:12:45,PCN,Encerrado,BRASÍLIA,DF,,VI COMAR,SEFA,GAP-DF,Reforma da Seção de Subsistência do GAP-BR,,67284.002210/2022-98,,,,SERINFRA-BR,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Projeto cancelado / descontinuado, em virtude da priorização e aprovação do PLANINFRA 2023 pelo EMAER",SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-1974,2022,1974,24/03/2025 15:25:18,OBC,Encerrado,RIO DE JANEIRO,RJ,,III COMAR,COMPREP,ALA 11,Implantação do Posto de Abastecimento de Veículos na BASC - SEFA-2023-1-RJ-CO,DIRINFRA,,,,,SERINFRA-RJ,7/28/2022,9/9/2022,100,"R$ 964.282,30",81/DTEN RJ,9/14/2022,,,,FAB 219D,,"R$ 943.689,17",,,,,,,"R$ 943.689,17",BASC,8/14/2023,2/14/2024,,,,,,,2/14/2024,100,,SIM,,,,,,,,,,,,,,,,,,,,,09/09/2022,Não Há,01/01/1900,,ece.dirinfra,,,,,,,,,,,,,
2022-1975,2022,1975,24/03/2025 15:19:42,OBC,Encerrado,CANOAS,RS,,V COMAR,COMPREP,BACO,Reparação do Prédio da Usina da BACO,BACO,Ofício nº 4391/SPOG-10/7987,Ofício 32/EI/6773,9/8/2022,,SERINFRA-CO,,9/23/2022,100,"R$ 65.275,53",Ofício nº 1125/DTINFRA CO/9185,9/22/2022,,,GAP-CO,FAB 2000,,"R$ 54.413,49",,,,,,,"R$ 54.413,49",SERINFRA-CO,1/5/2024,7/3/2024,,,,,,,7/3/2024,100,"Tarefa referente aos reparos na BACO devido vendaval de 15/08/2022. 
Por meio do Of nº 4391/SPOG-10/7987, ocorre a solicitação do COMPREP para elaboração do projeto e autorização da DIRINFRA (despacho SDE_SDIR). 
Caderno de Necessidades recebido em 08/09/2022 por meio do Of nº 32/EI/6773.
O projeto é entregue em 22/09/2022 por meio do Of nº 1125/DTINFRA CO/9185.
O cliente retorna o TEP assinado por meio do Of nº 201/GSB/8726, de 1º/11/2022.",SIM,,DTEN,(51) 3462-1229,,,,,,,,,,,,,,,,,,23/09/2022,Não há,22/09/2022,,ece.dirinfra,,,,,,,,,,,,,
2022-1976,2022,1976,24/03/2025 15:21:16,OBC,Encerrado,CANOAS,RS,,V COMAR,COMPREP,BACO,Manutenção da Edificação E- 004 (Carceragem da Base Aérea de Canoas) - COMPREP-2023-1-RS-RC,BACO,Ofício nº 4391/SPOG-10/7987,Ofício 32/EI/6773,11/4/2022,"R$ 180.000,00",SERINFRA-CO,11/21/2022,12/5/2022,100,"R$ 285.525,73",Of nº 1421/SSEP-CO/11827,12/6/2022,,,GAP-CO,FAB 2000,,"R$ 371.814,24",,,,,,,"R$ 371.814,24",SERINFRA-CO,11/13/2023,8/9/2024,,,,,,,8/9/2024,100,"Tarefa referente aos reparos na BACO devido vendaval de 15/08/2022. 
O objeto foi caracterizado como Serviço de Engenharia.
COMPREP solicita à DIRINFRA a elaboração do projeto através do Of nº4391/SPOG-10/7987.
Caderno de Necessidades recebido em 09/09/2022 pelo Of nº 32/EI/6773.
DTINFRA-CO solicita, por meio do Of nº 1188/DTEN-CO/9559, de 03/10/2022, esclarecimentos sobre a mudança de escopo de projeto, a fim de atender exigências do MP, e informa sobre a necessidade de elaboração de um novo Caderno de Necessidades.
DTINFRA-CO recebe o novo caderno de necessidades por meio do Of nº 2/GSD_EPA_CMDO/8790, de 04/11/2022.
Tendo em vista a alteração do escopo do projeto, o título do mesmo também foi alterado.",SIM,,DTEN,(51) 3462-1229,,,,,,,,,,,,,,,,,,05/12/2022,SIGAD 256355,06/12/2022,COMPREP-2023-1-RS-RC,ece.dirinfra,,,,,,,,,,,,,
2022-1977,2022,1977,12/03/2025 09:51:32,OBC,PlanINFRA,CANOAS,RS,,V COMAR,COMPREP,BACO,Reparação do Telhado do Hangar do CAN-CO - COMPREP-2024-2-RS-RE,BACO,Ofício nº 4391/SPOG-10/7987,Ofício 32/EI/6773,9/8/2022,"R$ 76.000,00",SERINFRA-CO,,10/11/2022,100,"R$ 442.310,97",Ofício 1252/DTINFRA CO/10260,10/19/2022,,,GAP-CO,FAB 20XV,,"R$ 378.067,78",,,,,,,"R$ 378.067,78",SERINFRA-CO,1/5/2024,11/2/2024,,,,,,,11/2/2024,100,"> Tarefa referente aos reparos na BACO devido vendaval de 15/08/2022.
===========================
> 26/08/2022 - Of nº 4391/SPOG-10/7987, COMPREP solicita a DIRINFRA a elaboração do projeto. (despacho SDE_SDIR).
===========================
> 09/09/2022 - Recebido Caderno de Necessidades por meio do Of nº 32/EI/6773 de 08/09/2022.
===========================
> 22/09/2022 - Houve um novo destelhamento aumentando o escopo do projeto.
===========================
> 19/08/2022 - Projeto entregue por meio do of nº 1252/DTINFRA CO/10260.
===========================
>27/10/2022 - TEP assinado foi recebido por meio do Of nº197/GSB/8575.
===========================
> 27/12/2023 - OES assinada autorizando início da obra a contar de 05/01/2024.
===========================
>28/01/2025 - TERP assinado",SIM,,DTEN,(51)3462-1229,,,,,,,,,,,,,,,,,,11/10/2022,Não há,19/10/2022,COMPREP-2024-2-RS-RE,ece.dirinfra,,,,,,,,,,,,,
2022-1978,2022,1978,22/12/2022 09:31:02,PCN,Encerrado,CAMPO GRANDE,MS,,IV COMAR,COMPREP,BACG,Recuperação dos Pavimentos do Pátio e da Pista de Taxi do Aeródromo Militar da BACG,DIRINFRA,Of. n° 8/EPGA,Of. n° 2045/GSB-EIE-SENG/12694,10/13/2022,,DTINFRA-SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"O ofício n° 8/EPGA, do sr SDE ao Chefe do DTINFRA-SP, solicitou a revisão do projeto de pavimentação, drenagem, sinalização horizontal e luminosa da taxiway do aeródromo da BACG, com a inclusão de eventuais recuperação dos pavimentos e resselagens. Essa demanda entraria como contrapartida dentro do Projeto Piloto de Desestatização de Ativos Imobiliários do COMAER. Para este escopo foi recebido um Caderno de Necessidades, por meio do Ofício n° 1692/GSB-EIE-SENG/10819, de 02/09/22. Através do ofício n° 1178/DIRINFRA/9516, ficou estabelecida a mudança de escopo, que envolve a retirada da construção da nova taxiway (contemplada no edital do leilão n° 01/2022 da ANAC - ver SIGAD 251488) e mantém apenas a recuperação dos pavimentos do pátio militar de estacionamento de aeronaves e taxiway de acesso existente. Assim, foi solicitado um novo CN à BACG, que englobasse o escopo reduzido. O novo CN foi encaminhado a este DTINFRA por meio do ofício n° 2045/GSB-EIE-SENG/12694, de 14/10/222. Devido ao novo escopo, o nome da demanda foi atualizado para ""Recuperação dos Pavimentos do Pátio e da Pista de Taxi do Aeródromo Militar da BACG"", em substituição ao anterior ""Construção de uma nova taxiway para a BACG e manutenção dos pavimentos existentes"".
Projeto cancelado / descontinuado, pois foi substituido por demanda semelhante priorizada e aprovada no PLANINFRA 2023 pelo EMAER ID 2023-2012.",SIM,,DTEN - Ten Iury,(11) 2104-5426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-1979,2022,1979,08/05/2023 15:52:13,OBC,Encerrado,CANOAS,RS,,V COMAR,GABAER,SERIPA V,Serviço de Reparação do Sistema de Proteção contra Descargas Atmosféricas do prédio do SERIPA V - COMGAP-2022-1-RS-RC,SERIPA V,Ofício nº 80/SA/257,,,,SERINFRA-CO,,,100,,Of[icio 1121/SSFO CO/4421,5/20/2021,,,GAP-CO,FAB 2000,,"R$ 44.899,99","R$ 0,00",,,,,,"R$ 44.899,99",SERINFRA-CO,10/3/2022,12/1/2022,,,,,,,12/1/2022,100,"""Obra iniciada em 03/10/2022. Contrato e OS assinados em 29/09/2022
24/11/2022: Assinado o Termo de Recebimento Provisório
01/12/2022: Assinado o Termo de Recebimento Definitivo
09/01/2022: Portaria de finalização da Comissão de Fiscalização - Portaria DIRINFRA nº 419/DTINFRA-CO, de 06 de dezembro de 2022. Publicação no Bol. Int. Ost. nº 181 de 14/12/2022 do GAP CO.""",SIM,,DTEN,(51) 3462-1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-1980,2022,1980,21/03/2024 12:41:17,OBC,Encerrado,CANOAS,RS,,V COMAR,SEFA,GAP-CO,Adequações da infraestrutura geral da Seção de Fardamento e da Seção de Material de Intendência do GAP CO - SEFA-2022-1-RS-RE,GAP-CO,"Ofício nº 35/AP4-3/14364 de 19/09/2022, da DIRAD à DIRINFRA.",Ofício nº 35/AP4-3/14364,9/1/2022,"R$ 470.000,00",SERINFRA-CO,,9/23/2022,100,"R$ 460.249,60",Ofício nº 1136/DTINFRA CO/9243,9/23/2022,,,GAP-CO,FAB 2000,,"R$ 500.825,77",,"R$ 86.601,13",,,,,"R$ 500.825,77",SERINFRA-CO,12/5/2022,6/2/2023,60,,,,,,11/24/2023,100,"Tarefa referente aos reparos no GAP-CO devido vendaval de 15/08/2022. 
DIRAD solicita apoio para elaboração do projeto e DIRINFRA auotirzada por meio do Of nº 35/AP4-3/14364 de 19/09/2022. O mesmo ofício também inclui o CN do cliente.
O projeto é encaminhado por meio do Of nº 1136/DTINFRA CO/9243, de 23/09/2022.

Registro SISOP: COMGAP-2022-4-RS-RE
""- Ordem de Serviço do dia 05/12/2022 – Obra inciada.
- Elaborado o RT 01/GAPCO/2023 solicitando aditivo de prazo (60 dias) e valor (R$86.601,13).
- 15/08/2023: Confeccionado o Ofício SIGAD 276266 informando o término do prazo do TERP.
- 28/08/2023: Confeccionado o Ofício SIGAD 277255 informando o término do prazo do TERP.
- 24/10/2023: TERP assinado, concedido 10 dias para que sejam sanadas as pendências.""",SIM,,DTEN-CO,(51) 3462-1229,,,,,,,,,,,,,,,,,,23/09/2022,Ofício nº 1136/DTINFRA CO/9243,23/09/2022,SEFA-2022-1-RS-RE,,,,,,,,,,,,,,
2022-1981,2022,1981,08/08/2023 13:53:17,PCN,Encerrado,BRASÍLIA,DF,,VI COMAR,SEFA,GAP-BR,IMPERMEABILIZAÇÃO DA LAJE SUPERIOR À SEÇÃO DE SUBSISTÊNCIA,GAP-DF,250653,,,,SERINFRA-BR,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1) PROJETO INTERROMPIDO
2) Ofício n° 12/SENG/2982 informa o cancelamento do projeto.",SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-1982,2022,1982,22/02/2023 16:37:08,PCN,Encerrado,MANAUS,AM,,VII COMAR,COMPREP,BAMN,Recuperação de Pavimentos Aeroportuários da BAMN,DIRINFRA,Ofício nº 9/EPGA,,,"R$ 35.157.713,46",SERINFRA-MN,,1/31/2023,100,"R$ 27.665.648,42",Ofício n°31/DTEN MN/1287,2/14/2023,,,CELOG,PERMUTA,,,,,,,,,"R$ 27.665.648,42",,,,,,,,,,,,"Projeto cancelado / descontinuado, pois foi substituido por demanda semelhante priorizada e aprovada no PLANINFRA 2023 pelo EMAER ID 2023-2014.

ID 2023-2014",SIM,,ENGENHARIA - PROJETOS,(92) 2020--1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-1983,2022,1983,13/03/2025 13:06:51,OBI,Extra-PlanINFRA,RIO DE JANEIRO,RJ,,III COMAR,COMPREP,BAGL,Iluminação do pátio do PAMAGL e HOTPOINT - COMPREP-2024-1-RJ-CO,EMAER,,,,"R$ 4.960.696,54",CEPE,,2/28/2023,100,"R$ 5.694.263,97",Ofício nº 54/CEPE/178,3/22/2023,,,,FAB 219D,,"R$ 4.390.932,95",,,,,,,"R$ 4.390.932,95",BAGL,1/8/2024,4/30/2025,,,,,,,4/30/2025,71,"> Projeto dividido em duas entregas (2 projetos):
1) Substituição da iluminação existente do pátio da BAGL.
2) Iluminação do pátio do PAMAGL e HOTPOINT. 
===========================
>22/03/2023 - TEP enviado (assinado pelo Cliente) à DIRINFRA por meio do Ofício nº 54/CEPE/178.
===========================
> 08/01/2024 - Obra iniciada.",SIM,,,,,,,,,,,,,,,,,,,,,28/02/2023,Ofício nº 54/CEPE/178,20/03/2023,COMPREP-2024-1-RJ-CO,ece.dirinfra,,,,,,,,,,,,,
2022-1984,2022,1984,05/01/2023 08:11:38,PCN,Encerrado,CURITIBA,PR,,V COMAR,DECEA,PACT,"Reforma dos PNR 1006, 1041, 1044 e 2073 da PACT",CINDACTA II,Ofício nº 71/PACT/247,Of nº 286/PACT/768,11/17/2022,"R$ 1.067.018,47",SERINFRA-CO,,5/31/2023,0,,,,,,,,,,,,,,,,"R$ 1.067.018,47",,,,,,,,,,,,"""Solicitado Caderno de Necessidades à PACT e enviado modelo, em 21/09/2022 através do Of nº 1119/SSEP-CO/9137.
Recebido o caderno de necessidades em 17/11/22, por meio do Of nº 286/PACT/768."".
16/08/23 - Projeto cancelado / descontinuado, em virtude da priorização e aprovação do PLANINFRA 2023 pelo EMAER.",SIM,,DTEN,(51) 3462-1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-1985,2022,1985,05/01/2023 08:12:44,PCN,Encerrado,CURITIBA,PR,,V COMAR,DECEA,PACT,Construção dos PNR 2061 e 2199 da PACT,CINDACTA II,Ofício nº 71/PACT/247,Of nº 286/PACT/768,11/17/2022,"R$ 807.281,72",SERINFRA-CO,,5/31/2023,0,,,,,,,,,,,,,,,,"R$ 807.281,72",,,,,,,,,,,,"Por meio do Of nº 71/PACT/247, de 26/04/2022, a PACT solicita à DIRINFRA a elaboração de projetos diversos em PNRs de CT.
Missão de levantamentos planejada para 20 a 26/11/2022, conforme Ofício 1119/SSEP-CO/9137, de 21/09/2022. Neste, o DT-CO solicita a elaboração de CN e também informa que a data de conclusão do projeto está estimada para 31/05/2023.
16/08/23 - Projeto cancelado / descontinuado, em virtude da priorização e aprovação do PLANINFRA 2023 pelo EMAER.",SIM,,DTEN,513) 4621-229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-1986,2022,1986,21/11/2022 13:39:02,PRC,Extra-PlanINFRA,CANOAS,RS,,V COMAR,SEFA,PACO,Estudo urbanístico de implantação de novos PNR na PACO - Anteprojeto,DIRINFRA,Despacho Nº 21/PPDI/8234,,9/1/2022,,SERINFRA-CO,,11/18/2022,100,"R$ 40.757.099,92",Of nº 1349/SSEP-CO/11178,11/18/2022,,,,,,,,,,,,,"R$ 40.757.099,92",,,,,,,,,,,,"Demanda que teve origem nas reuniões com a DIRINFRA - Ata 05/2022, item 1.9 e Ata 06/2022, item 11.3. O objetivo é, com base nos CN fornecidos pela PACO, estudar a viabilidade de implantação dos novos PNR, bem como elaborar anteprojeto e uma ECP para cada empreendimento. Trata-se de 3 cenários, sendo eles: 1 ou 2 edifícios próximos à PACO; 10 residências na rua D; e 6 residências na rua B, todas na vila Ícaro.",SIM,,DTEN,(51) 3462-1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-1987,2022,1987,08/05/2023 15:53:27,OBC,Encerrado,GUARULHOS,SP,,IV COMAR,COMGAP,ILA,Adaptação do Estudio de EAD do ILA - COMGAP-2022-4-SP-RE,ILA,,,,,ILA,,,100,"R$ 111.257,10",,,,,GAP-SP,FAB 2000,4/11/2022,"R$ 98.000,00",,,,,,,"R$ 98.000,00",DTINFRA-SP,8/15/2022,12/15/2022,,,,,,,12/15/2022,100,COMGAP-2022-4-SP-RE  - CONTRATO N° 046/GAPSP-ILA/2022 - PE:056/2022.,SIM,,DTEN - 2T CASSIA,(11) 2104--5426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-1988,2022,1988,21/03/2024 12:43:05,OBC,Encerrado,SÃO PAULO,SP,,IV COMAR,COMGAP,COMGAP,Reforma do 6° andar do prédio E-001 do COMGAP - COMGAP-2022-1-SP-AM,COMGAP,,,,,DTINFRA-SP,,8/14/2020,100,"R$ 0,00",197512,,,,GAP-SP,FAB 219D,,"R$ 1.690.141,36",,"R$ 394.977,62","R$ 0,00",,,,"R$ 1.690.141,36",DIRINFRA,4/28/2022,8/26/2022,121,0,,,,,12/25/2022,100,"R$ 1.690.141,36
COMGAP-2022-1-SP-AM - CONTRATO Nº 031/GAPSP-COMGAP/2022 - DISPENSA n° 033/2022 

2º Termo Aditivo de valor e prazo aprovado pela CJU. Novos prazos previstos: execução 24/12/2022 e vigência 27/04/2023. Novo valor de contrato: R$1.690.141,36.",SIM,,DTEN - 1T COSTA,(11) 2104-5426,,,,,,,,,,,,,,,,,,14/08/2020,0,01/01/1900,COMGAP-2022-1-SP-AM,,,,,,,,,,,,,,
2022-1989,2022,1989,26/10/2022 16:21:06,PRC,Extra-PlanINFRA,CANOAS,RS,,V COMAR,COMGEP,HACO,Manutenção do Reservatório de água anexo ao prédio da UPI do HACO,HACO,,,,"R$ 107.420,91",SERINFRA-CO,,7/1/2022,100,"R$ 149.655,75",,6/27/2022,,,,,,,,,,,,,"R$ 149.655,75",,,,,,,,,,,,,SIM,,DTEN,51 ) 3462--1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-1990,2022,1990,22/03/2023 15:20:21,PRC,Encerrado,SÃO PAULO,SP,,IV COMAR,COMGAP,CELOG,Adaptação das instalações do CELOG,CELOG,Ofício n° 35/AADM/2252,,,"R$ 67.676,21",DTINFRA-SP,11/9/2022,12/14/2022,100,"R$ 91.799,15",Of. n° 1490/DTINFRA SP/12390,12/22/2022,,,,,,,,,,,,,"R$ 91.799,15",,,,,,,,,,,,,SIM,,DTEN - Ten Cássia,(11) 2104-5426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-1991,2022,1991,07/12/2022 10:15:43,PRC,PlanINFRA,CANOAS,RS,,V COMAR,COMPREP,BACO,Reparo do Telhado da Edificação E-004 da BACO,BACO,Of nº 4391/SPOG-10/7987,Of nº 32/EI/6773,9/8/2022,"R$ 130.000,00",SERINFRA-CO,11/22/2022,12/5/2022,100,"R$ 112.323,15",Ofício nº 1414/SSEP-CO/11769,12/5/2022,,,GAP-CO,FAB 2000,,,,,,,,,"R$ 112.323,15",,,,,,,,,,,,"Tarefa referente aos reparos na BACO devido vendaval de 15/08/2022. 
O objeto foi caracterizado como Serviço de Engenharia.
COMPREP solicita à DIRINFRA a elaboração do projeto através do Of nº4391/SPOG-10/7987.
Caderno de Necessidades recebido em 09/09/2022 pelo Of nº 32/EI/6773.
DTINFRA-CO solicita, por meio do Of nº 1188/DTEN-CO/9559, de 03/10/2022, esclarecimentos sobre a mudança de escopo de projeto, a fim de atender exigências do MP, e informa sobre a necessidade de elaboração de um novo Caderno de Necessidades.
DTINFRA-CO recebe o novo caderno de necessidades por meio do Of nº 2/GSD_EPA_CMDO/8790, de 04/11/2022.
Tendo em vista a alteração do escopo do projeto, o título do mesmo também foi alterado.",SIM,,DTEN,513) 4621-222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1992,2023,1992,17/10/2023 15:18:45,OBC,PlanINFRA,RIO DE JANEIRO,RJ,,III COMAR,COMPREP,BAGL,Reparo do Pátio de Aeronaves e Via de Serviço - COMPREP-2024-2-RJ-RC,EMAER,Of 168/4SC2/15704,,,"R$ 6.946.776,34",CEPE,8/7/2022,3/31/2023,100,"R$ 5.555.042,24",Ofício nº 71/CEPE/300,4/17/2023,,,,FAB 219D,,"R$ 5.329.511,98",,,,,,,"R$ 5.329.511,98",BAGL,5/20/2024,12/20/2024,,,,,,,12/20/2024,100,"TAP enviado ao Cliente com cópia para DIRINFRA em 20/09/22 por meio do Ofício 209/DT/629. Solicitação, de acréscimo ao escopo com projeto de via de acesso. Levantamento topográfico e coleta para CBR, in loco, sendo realizado em 16 a 18/11 para elaboração do projeto. TAP sendo 
refeito para nova emissão ao Cliente. TAP recebido assinado em por Ofício nº 39/GSB/16399 de 30/11/2022. Atualização com aumento de escopo em função do GTAMN (adequação da via de acesso), em consequência, alteração da estimativa de custo em função desta atualização. Anterior: R$4,913,601.40 - Novo: R$ 6.946.776,34. Novo prazo em função do aumento de escopo (31/03). Projeto enviado ao Cliente com TEP para assinatura por meio do Ofício nº 65/CEPE/246 em 11/04/2023. TEP assinado pelo Cliente enviado para DIRINFRA em 17/04 por meio do Ofício nº 71/CEPE/300Descrição da demanda alterada de ""Recuperação do Pátio de Aeronaves e adequação da via de acesso"" para ""Reparo do Pátio de Aeronaves e Via de Serviço"".

- Aguardando autorização para publicação com previsão de execução para 2024.",SIM,,,,,,,,,,,,,,,,,,,,,31/03/2023,Of. n° 71/CEPE/300,17/04/2023,COMPREP-2024-2-RJ-RC,,,,,,,,,,,,,,
2023-1993,2023,1993,18/05/2023 15:39:07,PCN,Encerrado,RIO DE JANEIRO,RJ,,III COMAR,COMPREP,BAGL,Projeto de rede de distribuição de 380V no Hangar H-003 da BAGL,EMAER,Of 168/4SC2/15704,,,"R$ 500.000,00",CEPE,,,0,,,,Agrupado ao ID2023-1994,,,FAB 219D,,,,,,,,,"R$ 500.000,00",,,,,,,,,,,,"TAP enviado ao Cliente com cópia para DIRINFRA em 15/09/22 por meio do Ofício 203/DT/613. Recebido TAP do Cliente com solicitação de alteração alinhada co o GTMAN em 04/10 por meio do Ofício nº 87/GOP/13649. TAP revisado (REV01) reenviado ao Cliente em 03/11/2022 por meio do Ofício 240/DT/764. Retorno do Cliente solicitando Sinalização dentro do Hangar. Levantamento, in loco, sendo realizado em 16 a 18/11 para elaboração do projeto. Nome original que consta na Planilha do EMAER: -Instalação de pontos de energia 380V no Hangar 003. Status alterado para PCN, pois foi agrupado com a demanda ID2023-1994.",SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-1994,2023,1994,15/04/2025 13:54:30,LIA,PlanINFRA,RIO DE JANEIRO,RJ,,III COMAR,COMPREP,BAGL,Projeto de rede de distribuição de 380V nos Hangares H-003 e H-006 da BAGL ,EMAER,Of 168/4SC2/15704,Não aplicável,,"R$ 1.200.000,00",CEPE,6/12/2023,10/18/2023,100,"R$ 863.977,96",Ofício nº 244/DT/1009,10/19/2023,,,GAP-GL,FAB 219D,3/12/2025,,,,,,,,"R$ 777.579,00",,,,,,,,,,,,"Nome original que consta no EMAER ""Instalação de pontos de energia 380V no Hangar 006"" alterrado para ""Projeto de rede de distribuição de 380V no Hangar H-006 da BAGL"".
Nova alteração de descrição e valor pois foi agrupado com a demanda ID2023-1993 ""Projeto de rede de distribuição de 380V no Hangar H-003 da BAGL"". 
TAP enviado ao Cliente por meio do Ofício nº 104/DT/438 em 25/05/23. TAP recebido assinado pelo cliente por meio do Ofício 54/GSB/9153 em 07/06/23. TEP entregue por meio do Ofício nº 244/DT/1009 em 20/10.

19/04/2024 - Verificado no diretório interno do CEPE que foi recebido o TEP assinado pelo cliente, o qual foi assinado pelo GOV.BR, ou seja, fora do subprocesso SILOMS. O documento assinado deve ter sido restituído por e-mail, haja vista inexistência de Of. SIGADAER com a referida restituição. Atualizado, ainda, percentual de execução do projeto para 100% e alterado o status para PRC.

10/05/24 - Termo de Encerramento de Projeto (TEP) restituído pela BAGL via Of. nº 23/GSB/5983, de 24 de abril de 2024, bem como restituído via Subprocesso nº 3684 no SILOMS.

08/07/24 - Licitação autorizada pela DIRINFRA, conforme of. n° 121/AOOC/4051.

22/10/2024 - Of. 50/SENG/16518 de15 OUT 2024 informa que publicação da licitação ocorreu em 11/10/2024. Abertura do certame 19/11/2024, previsão de homologação 05/12/2024. Emissão de empenho em 2024.

",SIM,,,,,,,Ten Perez,(11) 3382-6118,Ofício 104/DT/438,25/05/2023,Ofício n° 54/GSB/9153 ,"R$ 1.200.000,00",http://www.gpaer.intraer/index.php?login_externo=1&id=4a89679a-5168-6c24-b169-e9c40a647c9d,,,,,,,"R$ 1.200.000,00",18/10/2023,Of. nº 23/GSB/5983,24/04/2024,,ece.dirinfra,121/AOOC/4051,27/06/2024,,,,11/10/2024,19/11/2024,"R$ 777.579,00",,,,Concorrência,90002/2024
2023-1995,2023,1995,03/06/2024 10:43:29,OBC,PlanINFRA,NATAL,RN,,II COMAR,COMPREP,BANT,Revisão do projeto de recuperação dos pavimentos aeroportuários (Fase 7) - SEFA-2022-2-RN-RC,EMAER,Of 168/4SC2/15704,Ofício nº 5/GOP/2542,2/16/2023,"R$ 5.838.685,13",COMARA,2/16/2023,11/3/2023,100,,Em minuta,12/31/2023,,,,FAB 219D,,,,,,,,,"R$ 5.838.685,13",COMARA,,,,,,,,,,100,"Obra concluída, execução direta pela COMARA.",SIM,,,,,,,,,Ofício nº 5/GOP/2542,16/02/2023,Ofício nº 5/GOP/2542,"R$ 5.838.685,13",,,,,,,,"R$ 5.838.685,13",03/11/2023,Não se aplica,01/01/1900,,,,,,,,,,,,,,,
